formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group
Li6Br3N,mp-676650,"[[0.069, -0.077, 0.494, 0.0, 0.208, 0.0], [0.0, 0.0, 0.0, 0.251, 0.0, 0.127], [0.348, -0.166, 0.389, 0.0, 0.538, 0.0]]",0.9028932865948386,1960,0,Tetragonal,-42m
ThSbRh,mp-10623,"[[0.0, 0.0, 0.0, -0.236, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.236, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.236]]",0.2359666666666668,1961,0,Cubic,-43m
TiVO3,mp-1216763,"[[0.0, 0.0, 0.0, 0.0, 2.811, -1.267], [-1.267, 1.267, 0.0, 2.811, 0.0, 0.0], [1.932, 1.932, 1.459, 0.0, 0.0, 0.0]]",3.3335007549455846,1962,0,Orthorhombic,mm2
In2Te5,mp-582549,"[[1.266, -0.218, -0.481, 0.0, 0.95, 0.0], [0.0, 0.0, 0.0, 0.046, 0.0, -0.025], [0.047, -0.003, -0.058, 0.0, -0.033, 0.0]]",1.6684950282918054,1963,0,Triclinic,1
FeOF,mp-752975,"[[-0.904, 0.002, 0.622, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.061], [0.0, 0.0, 0.0, 0.0, 0.517, 0.0]]",1.0974150998141041,1964,0,Orthorhombic,mm2
GeH3Cl,mp-28369,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.027], [0.033, 0.2, 0.083, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.028, 0.0, 0.0]]",0.21938947878145845,1965,0,Orthorhombic,222
Zn3WN4,mp-1245967,"[[0.0, 0.0, 0.0, 0.0, 0.846, 0.0], [0.0, 0.0, 0.0, 0.788, 0.0, 0.0], [0.93, 0.953, -1.776, 0.0, 0.0, 0.0]]",2.219801312572817,1966,0,Orthorhombic,mm2
Ga(MoS2)4,mp-2885,"[[0.0, 0.0, 0.0, 0.0, 0.013, 0.019], [0.019, -0.019, 0.0, 0.013, 0.0, 0.0], [0.013, 0.013, -0.026, 0.0, 0.0, 0.0]]",0.0320533500323235,1967,0,Trigonal,3m
LiFe2F6,mp-557403,"[[0.0, 0.0, 0.0, 0.0, 0.127, 0.0], [0.0, 0.0, 0.0, 0.127, 0.0, 0.0], [-0.047, -0.047, -0.147, 0.0, 0.0, 0.0]]",0.16135560913708571,1968,0,Trigonal,3
TaAlO4,mp-760396,"[[1.03, -0.028, -0.028, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.744], [0.0, 0.0, 0.0, 0.0, 0.744, 0.0]]",1.0311049841795938,1969,0,Monoclinic,m
NaGe2N3,mp-14433,"[[0.0, 0.0, 0.0, 0.0, 0.02, 0.0], [0.0, 0.0, 0.0, -0.307, 0.0, 0.0], [-0.031, -0.347, 0.424, 0.0, 0.0, 0.0]]",0.548641625289223,1970,0,Hexagonal,6mm
CsAgSe4,mp-18105,"[[0.0, 0.0, 0.0, -0.071, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.086, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.031]]",0.08643,1971,0,Tetragonal,4mm
CsPr(PO3)4,mp-17770,"[[0.0, 0.0, 0.0, 0.11, 0.0, -0.012], [-0.05, 0.007, 0.037, 0.0, 0.03, 0.0], [0.0, 0.0, 0.0, 0.077, 0.0, -0.031]]",0.1369770581405799,1972,0,Monoclinic,2
KS,mp-1287,"[[-0.072, 0.072, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.072], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.10124354865572635,1973,0,Orthorhombic,mm2
PbI2,mp-567542,"[[0.0, 0.0, 0.0, 0.0, 0.011, 0.0], [0.0, 0.0, 0.0, 0.011, 0.0, 0.0], [0.001, 0.001, 0.0, 0.0, 0.0, 0.0]]",0.010850002273717942,1974,0,Cubic,23
